city_id,city,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
177,saint george,1,74,37.1,46.0,3.36
178,caucaia,17,82,-3.74,86.0,5.99
179,lakes entrance,0,92,-37.88,59.0,4.5
180,lompoc,1,87,34.64,64.0,5.82
181,henties bay,0,86,-22.12,69.01,5.01
182,pernik,46,69,42.6,39.0,4.0
183,kampot,77,82,10.62,77.92,4.32
184,ilulissat,40,43,69.22,10.4,5.82
185,araxa,65,87,-19.59,75.42,6.04
186,kerouane,2,9,9.27,90.39,3.91
187,labuhan,52,88,-6.88,76.57,3.51
188,tessalit,98,9,20.2,81.73,8.77
189,kiria,1,87,41.1,50.0,1.59
190,saint-joseph,73,93,-21.37,71.01,1.99
191,concarneau,49,88,47.88,48.99,1.01
192,port elizabeth,3,65,-33.92,77.0,11.41
193,bolshaya rechka,17,71,51.95,5.0,17.9
194,iqaluit,0,67,63.75,-25.01,8.01
195,kang,50,58,-23.68,73.9,7.67
196,katsuura,100,83,35.13,46.99,5.99
197,sebinkarahisar,0,61,40.29,16.2,4.85
198,richards bay,50,81,-28.78,78.19,26.11
199,fortuna,100,87,40.6,59.0,8.99
200,dwarka,0,62,22.24,72.75,12.28
201,petropavlovsk-kamchatskiy,100,81,53.05,13.17,14.16
202,eregli,0,56,37.51,29.61,1.74
203,kamalasai,100,57,16.34,77.16,4.79
204,pisco,95,83,-13.7,75.0,13.0
205,plettenberg bay,17,87,-34.05,70.07,3.8
206,leshukonskoye,100,96,64.9,-0.33,4.45
207,jiangyou,89,96,31.77,30.13,1.48
208,kahului,0,78,20.89,70.0,5.99
209,shiraz,65,63,29.6,36.55,4.18
210,surt,41,31,31.21,63.18,7.74
211,ugep,77,16,5.81,83.88,1.9
212,comodoro rivadavia,84,62,-45.87,64.62,13.33
213,chaihe,0,76,44.77,-1.5,2.39
214,niono,81,6,14.25,86.81,6.29
215,jipijapa,68,62,-1.33,83.59,6.08
216,bilma,6,13,18.69,65.57,8.3
217,haverfordwest,97,94,51.8,45.0,5.01
218,ziway,100,68,7.93,65.61,12.48
219,buluang,20,96,13.31,72.5,4.29
220,belyy yar,100,83,53.6,25.12,6.2
221,arroio dos ratos,2,48,-30.08,90.0,1.01
222,pevek,90,96,69.7,-18.53,4.63
223,puerto escondido,0,47,15.85,84.36,6.89
224,sumbe,90,81,-11.21,77.74,6.89
225,ust-tsilma,99,98,65.44,-8.86,3.0
226,shelburne,100,99,44.08,37.0,7.0
227,bredasdorp,2,64,-34.53,73.4,19.46
228,beringovskiy,100,85,63.05,15.82,12.62
229,pemangkat,100,86,1.17,79.47,4.41
230,dunedin,38,65,-45.87,57.99,1.99
231,tiznit,56,78,29.58,52.07,12.03
232,vila franca do campo,91,83,37.72,62.01,11.99
233,tazmalt,5,59,36.39,48.2,4.81
234,jesus carranza,55,77,17.43,76.1,5.14
235,east london,19,78,-33.02,77.0,4.7
236,capinopolis,36,79,-18.68,81.84,4.56
237,kondinskoye,91,99,59.65,-1.26,7.56
238,lac du bonnet,31,90,50.25,23.0,11.01
239,kalmunai,91,74,7.42,80.31,15.32
240,ndioum,79,10,16.51,98.22,7.47
241,humaita,100,70,-7.51,87.53,3.8
242,harper,11,74,4.38,82.71,5.28
243,pankovka,91,70,58.5,31.41,12.59
244,quatre cocos,40,78,-20.21,78.8,17.22
245,pakxan,31,87,18.38,65.25,3.76
246,mindelo,63,69,16.89,71.13,11.18
247,aklavik,100,94,68.22,-14.57,22.55
248,itumba,96,96,-9.4,63.66,1.83
249,benghazi,0,58,32.12,59.58,12.26
250,cidreira,4,65,-30.18,75.04,8.12
251,nepa nagar,0,38,21.47,67.69,4.65
252,sechura,79,88,-5.56,73.26,12.82
253,berdigestyakh,1,94,62.1,-34.24,5.75
